start,end,All_spend,All_products,month,default_season_pc
2019-12-31,2020-01-31,197.0,197.0,Jan,0.04949748743718593
2020-01-31,2020-02-29,153.0,153.0,Feb,0.038442211055276385
2020-02-29,2020-03-31,172.0,172.0,Mar,0.04321608040201005
2020-03-31,2020-04-30,272.0,272.0,Apr,0.06834170854271357
2020-04-30,2020-05-31,371.0,371.0,May,0.09321608040201006
2020-05-31,2020-06-30,381.0,381.0,Jun,0.0957286432160804
2020-06-30,2020-07-31,465.0,465.0,Jul,0.11683417085427136
2020-07-31,2020-08-31,318.0,318.0,Aug,0.07989949748743719
2020-08-31,2020-09-30,397.0,397.0,Sep,0.09974874371859296
2020-09-30,2020-10-31,443.0,443.0,Oct,0.11130653266331658
2020-10-31,2020-11-30,463.0,463.0,Nov,0.1163316582914573
2020-11-30,2020-12-31,348.0,348.0,Dec,0.08743718592964825
